                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                 0.5412,                0.34887,                0.84956,                0.97137,                0.96465,                0.97927,                 0.8823,                0.49217,                0.26891,                0.80179,              0.0046936,              0.0046936,              0.0046936
                    136,                0.54006,                0.34631,                0.84705,                0.97134,                0.96464,                 0.9792,                0.88195,                0.49266,                0.26839,                0.80187,               0.004654,               0.004654,               0.004654
                    137,                0.53843,                0.34949,                0.84938,                0.97134,                0.96464,                0.97913,                0.88185,                0.49216,                0.26825,                0.80175,              0.0046144,              0.0046144,              0.0046144
                    138,                 0.5396,                0.34652,                0.84835,                0.97119,                0.96465,                0.97894,                  0.882,                0.49323,                0.26858,                0.80192,              0.0045748,              0.0045748,              0.0045748
                    139,                0.53677,                0.34577,                0.84901,                0.97129,                0.96466,                0.97895,                0.88207,                0.49341,                 0.2685,                0.80183,              0.0045352,              0.0045352,              0.0045352
                    140,                0.53369,                0.34586,                0.84868,                0.97133,                0.96465,                0.97887,                0.88177,                0.49293,                0.26848,                0.80172,              0.0044956,              0.0044956,              0.0044956
                    141,                0.53825,                0.34536,                0.84946,                0.97161,                0.96463,                0.97885,                0.88165,                0.49224,                0.26875,                0.80176,               0.004456,               0.004456,               0.004456
                    142,                0.53664,                0.34131,                0.84541,                0.97166,                0.96462,                 0.9788,                0.88184,                0.49233,                0.26875,                0.80174,              0.0044164,              0.0044164,              0.0044164
                    143,                0.53354,                0.34133,                0.84604,                0.97241,                0.96539,                0.97881,                0.88183,                0.49209,                0.26872,                 0.8017,              0.0043768,              0.0043768,              0.0043768
                    144,                0.53181,                0.33946,                0.84766,                0.97246,                0.96537,                0.97882,                0.88196,                0.49167,                 0.2685,                0.80171,              0.0043372,              0.0043372,              0.0043372
                    145,                0.53061,                0.34038,                0.84641,                0.97236,                0.96524,                0.97889,                0.88142,                0.49231,                0.26789,                0.80181,              0.0042976,              0.0042976,              0.0042976
                    146,                0.53411,                0.34263,                 0.8465,                0.97214,                 0.9655,                0.97885,                0.88177,                 0.4922,                 0.2677,                0.80181,               0.004258,               0.004258,               0.004258
                    147,                0.53502,                0.34091,                 0.8465,                0.97226,                0.96523,                0.97888,                 0.8818,                0.49245,                0.26806,                0.80181,              0.0042184,              0.0042184,              0.0042184
                    148,                0.52898,                0.33977,                 0.8472,                 0.9723,                0.96522,                0.97882,                0.88241,                0.49259,                0.26812,                0.80182,              0.0041788,              0.0041788,              0.0041788
                    149,                0.53321,                0.34206,                0.84764,                0.97249,                0.96526,                0.97887,                0.88167,                0.49206,                0.26767,                0.80187,              0.0041392,              0.0041392,              0.0041392
                    150,                0.52858,                0.33928,                0.84556,                0.97217,                0.96554,                0.97896,                0.88235,                0.49247,                 0.2679,                0.80186,              0.0040996,              0.0040996,              0.0040996
